hhID,SUBREG,SUBREG_GRP,SUBREGCluster,HHSize,HHIncome,HHDwelling,HHChildren,HHweight,SUBREG_GRPDummy,SUBREGClusterDummy
23586,83,39,3,2,3,2,0,37.06229615,39,3
23587,38,11,4,1,1,1,0,34.36724645,11,4
23588,56,21,1,2,2,1,0,38.37644494,21,1
23589,82,38,3,3,3,1,0,36.54970193,38,3
23590,62.2,26,4,1,1,1,0,46.18484884,26,4
23591,83,39,3,3,2,2,1,37.06229615,39,3
23592,39,11,2,1,3,2,0,34.36724645,11,2
23593,94,42,4,4,2,1,1,113.0646718,42,4
23594,12,2,4,2,3,1,0,20.3367354,2,4
23595,92,40,4,2,3,2,0,59.0185667,40,4
23596,55,21,3,2,2,1,0,38.37644494,21,3
23597,62.1,25,2,1,2,2,0,51.49353372,25,2
23598,21,4,2,1,2,2,0,46.20553258,4,2
23599,22,5,2,2,3,2,0,37.35369136,5,2
23600,74,33,4,4,3,2,1,31.35064351,33,4
23601,47.2,18,2,2,1,1,0,28.07877365,18,2
23602,12,2,4,4,3,1,0,16.28419963,2,4
23603,44,16,3,2,2,1,1,69.21572418,16,3
23604,36,9,2,1,1,2,0,27.40659837,9,2
23605,12,2,4,1,2,1,0,20.3367354,2,4
23606,57.1,22,1,1,1,2,0,32.24761393,22,1
23607,74,33,4,2,1,1,0,69.66809669,33,4
23608,62.2,26,4,3,2,1,0,40.292277,26,4
23609,47.2,18,2,2,3,1,0,28.07877365,18,2
23610,83,39,3,1,2,1,0,37.06229615,39,3
23611,12,2,4,3,1,2,0,20.3367354,2,4
23612,13.1,3,1,1,2,2,0,32.17161866,3,1
23613,55,21,3,1,1,2,0,38.37644494,21,3
23614,12,2,4,3,3,2,1,20.3367354,2,4
23615,53.2,20,3,3,3,1,1,37.15883436,20,3
23616,52.1,20,1,1,2,2,0,37.15883436,20,1
23617,53.1,20,1,1,2,2,0,37.15883436,20,1
23618,77,35,4,2,2,1,0,38.01839415,35,4
23619,37,10,4,2,2,1,1,47.84701718,10,4
23620,43,15,3,4,3,2,1,16.7448121,15,3
23621,55,21,3,3,3,1,1,38.37644494,21,3
23622,82,38,3,3,2,1,0,36.54970193,38,3
23623,35,8,3,1,2,2,0,33.68115209,8,3
23624,92,40,4,1,2,2,0,59.0185667,40,4
