"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,402,210,125,56,10,19,130,70,6,4,149,42,16,3,0.1031,29
406,80,30,2,19,2,7,0,14,7,9,2,4,13,11,0.8485,0
407,191,78,11,43,8,16,1,33,23,21,6,10,33,29,0.8415,0
408,160,79,39,23,8,9,4,39,18,18,13,10,26,30,0.8212,12
409,5,3,2,1,0,0,2,0,1,0,1,0,1,1,1,0
410,262,106,20,51,15,20,2,45,32,27,14,34,41,17,0.7353,0
415,8,4,2,1,0,1,2,1,0,1,1,1,1,1,0.6,0
416,264,100,12,37,30,21,20,80,0,0,33,17,34,16,0.4381,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,257,232,210,19,3,0,194,36,1,1,165,47,17,3,0.1106,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,194,1,0,1,0,0,0,0,0,1,0,1,0,0,1,192
436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,8,3,0,1,1,1,0,1,1,1,0,1,1,1,0.6667,0
445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,203,80,9,43,10,18,0,30,24,26,2,7,15,56,0.9551,0
451,48,18,2,8,2,6,0,9,5,4,3,4,7,4,0.75,0
452,33,13,3,3,4,3,1,8,0,4,1,2,5,5,0.8571,0
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,671,279,45,149,36,49,2,109,91,77,46,37,90,106,0.8229,0
455,143,53,8,24,8,13,0,18,19,16,9,7,17,20,0.8214,0
456,114,47,2,31,8,6,1,14,17,15,8,6,15,18,0.8367,0
457,73,66,59,7,0,0,2,1,0,63,36,20,7,3,0.0952,0
458,745,319,137,75,43,64,76,163,32,48,172,98,32,17,0.0819,19
459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
461,233,93,19,35,18,21,13,44,16,20,22,12,22,37,1,0
462,221,93,25,32,17,19,4,40,25,24,22,12,22,37,1,0
463,330,140,40,51,20,29,19,71,27,23,46,44,33,17,0.4306,0
464,422,192,87,58,22,25,59,79,24,30,63,61,45,23,0.4337,41
465,470,206,60,74,40,32,82,86,20,18,129,48,29,0,0.137,4
466,318,118,34,48,7,29,64,43,9,2,74,27,17,0,0.1395,44
467,338,194,91,74,18,11,112,66,10,6,114,39,41,0,0.1382,0
468,690,380,283,43,23,31,209,100,19,52,223,76,81,0,0.1327,109
469,86,74,64,8,2,0,12,34,18,10,39,22,4,9,0.25,0
470,64,40,23,14,0,3,15,11,10,4,21,12,2,5,0.1408,0
471,328,124,30,40,23,31,7,85,16,16,23,18,44,39,0.6934,0
472,14,7,2,4,0,1,0,4,1,2,1,1,3,2,0.7143,0
473,14,5,2,0,0,3,0,3,1,1,1,1,2,1,0.6667,0
474,317,128,33,44,25,26,6,83,23,16,24,18,46,40,0.6934,0
475,211,106,41,43,11,11,5,53,30,18,38,39,24,5,0.2222,0
476,5,2,0,1,1,0,0,1,0,1,1,1,0,0,1,0
500,19,8,2,3,1,2,0,4,3,1,1,1,4,2,0.8,0
501,28,12,2,6,2,2,1,6,2,3,1,2,6,3,0.8462,0
502,49,17,5,5,2,5,0,7,3,7,1,4,5,7,0.8,0
503,37,18,4,11,2,1,0,6,3,9,2,4,8,4,0.8333,0
504,28,11,2,5,1,3,1,5,3,2,1,2,5,3,0.8333,0
505,19,8,2,3,1,2,0,4,3,1,1,1,4,2,0.8333,0
506,6,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0
507,3,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
508,22,8,1,3,2,2,0,4,2,2,0,0,4,4,1,0
509,19,7,1,3,1,2,0,3,2,2,0,1,3,3,1,0
510,16,7,2,3,1,1,0,3,2,2,0,1,3,3,1,0
511,33,11,0,7,2,2,0,6,4,1,1,2,5,3,0.8462,0
512,82,31,5,13,7,6,1,15,8,7,3,6,14,8,0.8065,0
513,45,17,4,7,2,4,1,8,2,6,2,3,8,4,0.8571,0
514,158,59,2,32,12,13,0,27,16,16,5,12,27,15,0.8108,0
515,49,19,6,5,4,4,0,9,4,6,2,4,8,5,0.8333,0
516,40,18,5,7,4,2,0,8,5,5,1,4,6,7,0.8,0
