"TAZ","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
516,41,43,20100,41043020100,201,"Census Tract 201",600,1
517,41,43,20100,41043020100,201,"Census Tract 201",600,1
518,41,43,20100,41043020100,201,"Census Tract 201",600,1
519,41,43,20100,41043020100,201,"Census Tract 201",600,1
520,41,43,20100,41043020100,201,"Census Tract 201",600,1
521,41,43,20100,41043020100,201,"Census Tract 201",600,1
522,41,43,20100,41043020100,201,"Census Tract 201",600,1
523,41,43,20100,41043020100,201,"Census Tract 201",600,1
524,41,43,20100,41043020100,201,"Census Tract 201",600,1
525,41,43,20100,41043020100,201,"Census Tract 201",600,1
526,41,43,20100,41043020100,201,"Census Tract 201",600,1
527,41,43,20100,41043020100,201,"Census Tract 201",600,1
528,41,3,10100,41003010100,101,"Census Tract 101",600,1
529,41,3,10100,41003010100,101,"Census Tract 101",600,1
530,41,3,10100,41003010100,101,"Census Tract 101",600,1
531,41,3,10100,41003010100,101,"Census Tract 101",600,1
532,41,3,10100,41003010100,101,"Census Tract 101",600,1
533,41,3,10100,41003010100,101,"Census Tract 101",600,1
534,41,3,10100,41003010100,101,"Census Tract 101",600,1
535,41,3,10100,41003010100,101,"Census Tract 101",600,1
536,41,3,10100,41003010100,101,"Census Tract 101",600,1
537,41,3,10100,41003010100,101,"Census Tract 101",600,1
538,41,3,10100,41003010100,101,"Census Tract 101",600,1
539,41,3,10100,41003010100,101,"Census Tract 101",600,1
540,41,3,10100,41003010100,101,"Census Tract 101",600,1
541,41,3,10100,41003010100,101,"Census Tract 101",600,1
542,41,3,10100,41003010100,101,"Census Tract 101",600,1
543,41,3,10100,41003010100,101,"Census Tract 101",600,1
544,41,3,10100,41003010100,101,"Census Tract 101",600,1
545,41,3,10100,41003010100,101,"Census Tract 101",600,1
546,41,3,10100,41003010100,101,"Census Tract 101",600,1
547,41,43,20100,41043020100,201,"Census Tract 201",600,1
548,41,43,20100,41043020100,201,"Census Tract 201",600,1
549,41,43,20100,41043020100,201,"Census Tract 201",600,1
550,41,43,20100,41043020100,201,"Census Tract 201",600,1
551,41,43,20100,41043020100,201,"Census Tract 201",600,1
552,41,43,20100,41043020100,201,"Census Tract 201",600,1
553,41,43,20100,41043020100,201,"Census Tract 201",600,1
554,41,43,20100,41043020100,201,"Census Tract 201",600,1
555,41,43,20100,41043020100,201,"Census Tract 201",600,1
556,41,43,20100,41043020100,201,"Census Tract 201",600,1
557,41,43,20100,41043020100,201,"Census Tract 201",600,1
558,41,43,20100,41043020100,201,"Census Tract 201",600,1
559,41,43,20100,41043020100,201,"Census Tract 201",600,1
560,41,43,20100,41043020100,201,"Census Tract 201",600,1
561,41,43,20100,41043020100,201,"Census Tract 201",600,1
562,41,43,20100,41043020100,201,"Census Tract 201",600,1
563,41,43,20100,41043020100,201,"Census Tract 201",600,1
564,41,43,20100,41043020100,201,"Census Tract 201",600,1
565,41,43,20100,41043020100,201,"Census Tract 201",600,1
566,41,43,20100,41043020100,201,"Census Tract 201",600,1
567,41,43,20100,41043020100,201,"Census Tract 201",600,1
568,41,43,20100,41043020100,201,"Census Tract 201",600,1
569,41,43,20100,41043020100,201,"Census Tract 201",600,1
570,41,3,10100,41003010100,101,"Census Tract 101",600,1
571,41,3,10100,41003010100,101,"Census Tract 101",600,1
572,41,3,10100,41003010100,101,"Census Tract 101",600,1
573,41,3,10100,41003010100,101,"Census Tract 101",600,1
574,41,3,10100,41003010100,101,"Census Tract 101",600,1
575,41,3,10100,41003010100,101,"Census Tract 101",600,1
576,41,3,10100,41003010100,101,"Census Tract 101",600,1
577,41,3,10100,41003010100,101,"Census Tract 101",600,1
578,41,3,10100,41003010100,101,"Census Tract 101",600,1
579,41,3,10100,41003010100,101,"Census Tract 101",600,1
580,41,3,10100,41003010100,101,"Census Tract 101",600,1
581,41,3,10100,41003010100,101,"Census Tract 101",600,1
582,41,3,10100,41003010100,101,"Census Tract 101",600,1
583,41,3,10100,41003010100,101,"Census Tract 101",600,1
584,41,3,10100,41003010100,101,"Census Tract 101",600,1
585,41,3,10100,41003010100,101,"Census Tract 101",600,1
586,41,3,10100,41003010100,101,"Census Tract 101",600,1
587,41,3,10100,41003010100,101,"Census Tract 101",600,1
588,41,3,10100,41003010100,101,"Census Tract 101",600,1
589,41,3,10100,41003010100,101,"Census Tract 101",600,1
590,41,3,10100,41003010100,101,"Census Tract 101",600,1
591,41,3,10100,41003010100,101,"Census Tract 101",600,1
592,41,3,10100,41003010100,101,"Census Tract 101",600,1
593,41,3,10100,41003010100,101,"Census Tract 101",600,1
594,41,3,10100,41003010100,101,"Census Tract 101",600,1
595,41,3,10100,41003010100,101,"Census Tract 101",600,1
596,41,3,10100,41003010100,101,"Census Tract 101",600,1
597,41,3,10100,41003010100,101,"Census Tract 101",600,1
598,41,3,10100,41003010100,101,"Census Tract 101",600,1
599,41,3,10100,41003010100,101,"Census Tract 101",600,1
600,41,3,10100,41003010100,101,"Census Tract 101",600,1
601,41,3,10100,41003010100,101,"Census Tract 101",600,1
602,41,3,10100,41003010100,101,"Census Tract 101",600,1
603,41,3,10100,41003010100,101,"Census Tract 101",600,1
604,41,3,10100,41003010100,101,"Census Tract 101",600,1
605,41,3,10100,41003010100,101,"Census Tract 101",600,1
606,41,3,10100,41003010100,101,"Census Tract 101",600,1
