"TAZ","BLKGRP","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
507,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
508,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
509,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
510,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
511,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
512,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
513,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
514,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
515,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
516,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
517,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
518,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
519,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
520,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
521,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
522,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
523,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
524,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
525,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
526,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
527,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
528,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
529,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
530,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
531,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
532,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
533,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
534,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
535,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
536,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
537,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
538,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
539,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
540,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
541,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
542,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
543,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
544,"58",41,3,10100,41003010100,101,"Census Tract 101",600,1
545,"1",41,3,10100,41003010100,101,"Census Tract 101",600,1
546,"4",41,3,10100,41003010100,101,"Census Tract 101",600,1
547,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
548,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
549,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
550,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
551,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
552,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
553,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
554,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
555,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
556,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
557,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
558,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
559,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
560,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
561,"60",41,43,20100,41043020100,201,"Census Tract 201",600,1
